passengerid,sex,age,pclass,fare,parch,sibsp,embarked,survived
866,female,42.0,2,13.0,0,0,S,1
726,male,20.0,3,8.6625,0,0,S,0
159,male,29.69911764705882,3,8.6625,0,0,S,0
587,male,47.0,2,15.0,0,0,S,0
848,male,35.0,3,7.8958,0,0,C,0
622,male,42.0,1,52.5542,0,1,S,1
21,male,35.0,2,26.0,0,0,S,0
762,male,41.0,3,7.125,0,0,S,0
294,female,24.0,3,8.85,0,0,S,0
53,female,49.0,1,76.7292,0,1,C,1
442,male,20.0,3,9.5,0,0,S,0
870,male,4.0,3,11.1333,1,1,S,1
451,male,36.0,2,27.75,2,1,S,0
640,male,29.69911764705882,3,16.1,0,1,S,0
299,male,29.69911764705882,1,30.5,0,0,S,1
438,female,24.0,2,18.75,3,2,S,1
348,female,29.69911764705882,3,16.1,0,1,S,1
500,male,24.0,3,7.7958,0,0,S,0
181,female,29.69911764705882,3,69.55,2,8,S,0
780,female,43.0,1,211.3375,1,0,S,1
852,male,74.0,3,7.775,0,0,S,0
839,male,32.0,3,56.4958,0,0,S,1
366,male,30.0,3,7.25,0,0,S,0
352,male,29.69911764705882,1,35.0,0,0,S,0
825,male,2.0,3,39.6875,1,4,S,0
12,female,58.0,1,26.55,0,0,S,1
497,female,54.0,1,78.2667,0,1,C,1
690,female,15.0,1,211.3375,1,0,S,1
285,male,29.69911764705882,1,26.0,0,0,S,0
212,female,35.0,2,21.0,0,0,S,1
861,male,41.0,3,14.1083,0,2,S,0
109,male,38.0,3,7.8958,0,0,S,0
519,female,36.0,2,26.0,0,1,S,1
389,male,29.69911764705882,3,7.7292,0,0,Q,0
67,female,29.0,2,10.5,0,0,S,1
370,female,24.0,1,69.3,0,0,C,1
884,male,28.0,2,10.5,0,0,S,0
730,female,25.0,3,7.925,0,1,S,0
168,female,45.0,3,27.9,4,1,S,0
447,female,13.0,2,19.5,1,0,S,1
398,male,46.0,2,26.0,0,0,S,0
799,male,30.0,3,7.2292,0,0,C,0
505,female,16.0,1,86.5,0,0,S,1
271,male,29.69911764705882,1,31.0,0,0,S,0
659,male,23.0,2,13.0,0,0,S,0
663,male,47.0,1,25.5875,0,0,S,0
596,male,36.0,3,24.15,1,1,S,0
406,male,34.0,2,21.0,0,1,S,0
677,male,24.5,3,8.05,0,0,S,0
226,male,22.0,3,9.35,0,0,S,0
582,female,39.0,1,110.8833,1,1,C,1
875,female,28.0,2,24.0,0,1,C,1
843,female,30.0,1,31.0,0,0,C,1
1,male,22.0,3,7.25,0,1,S,0
794,male,29.69911764705882,1,30.6958,0,0,C,0
433,female,42.0,2,26.0,0,1,S,1
537,male,45.0,1,26.55,0,0,S,0
613,female,29.69911764705882,3,15.5,0,1,Q,1
276,female,63.0,1,77.9583,0,1,S,1
802,female,31.0,2,26.25,1,1,S,1
307,female,29.69911764705882,1,110.8833,0,0,C,1
785,male,25.0,3,7.05,0,0,S,0
136,male,23.0,2,15.0458,0,0,C,0
325,male,29.69911764705882,3,69.55,2,8,S,0
